Product_Name,Brand,Rating,Monthly_Sales,Price_SAR,Old_Price_SAR,Offer,Shipping,Competition_Count,Category_Main,Category_Sub,Market_Competition,Brand_Class,Is_Rated,Has_Sales,Discount,Weight_Est,Shipping_Cost,Referral_Fee_Rate,Referral_Fee_Value,Price_After_Discount,Price_Drop,Final_Cost,Net_Revenue,Is_Profitable,Competition_Level,Market_Competition_Level,Supplier_Count,Avg_Supplier_Score,Avg_Entry_Cost,Avg_Price_Range,Supply_Index,Cost_Index,Category_Level,Attractiveness,Demand_Index
Super Towel Pro 8 Rolls,fine,4.6,706.0,25.9,38.0,20% off promotion available,FREE delivery,0,Supermarket,Kitchen Towel,40000,generic,1,1,0.2,1.0,20.5,10.0,2.59,20.72,12.100000000000001,41.22,18.13,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Single Tissues 500x10,joody,4.4,300.0,29.95,29.95,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,2.995,23.96,0.0,44.46,20.965,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Maxi Roll 300m Pack of 6,smart pack,4.2,50.0,74.95,74.95,20% off promotion available,FREE delivery,0,Supermarket,Maxi Roll,40000,generic,1,1,0.2,1.0,20.5,10.0,7.495000000000001,59.96000000000001,0.0,80.46000000000001,52.465,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Soft Pack Facial Tissues Softy,softy,4.5,200.0,14.55,26.86,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,1.455,11.64,12.309999999999999,32.14,10.185,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Facial Tissues 150 Sheets CITY,city,4.4,700.0,14.99,14.99,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,1.499,11.992,0.0,32.492000000000004,10.493,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Ultra Soft Tissues 8+2,kleenex,4.7,1000.0,15.85,30.64,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,1.585,15.85,14.790000000000001,36.35,14.265,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Tissues 10 Packs x 500,saudi,,,35.0,47.0,20% off promotion available,SAR 12 delivery,0,Supermarket,Facial Tissues,40000,generic,0,0,0.2,1.0,20.5,10.0,3.5,28.0,12.0,48.5,24.5,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Facial Tissue 160 Sheets Mouchoir,mouchoir,4.6,600.0,24.95,29.0,20% off promotion available,FREE delivery,10,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,2.495,19.96,4.050000000000001,40.46,17.465,1,high,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Gipsy Maxi Roll Sanita,sanita,4.5,3000.0,8.4,12.99,20% off promotion available,FREE delivery,0,Supermarket,Maxi Roll,40000,generic,1,1,0.2,1.0,20.5,10.0,0.8400000000000001,6.720000000000001,4.59,27.22,5.880000000000001,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
JETech Privacy iPhone 12/12 Pro,jetech,4.4,50.0,32.99,32.99,20% off,"FREE delivery Thu, 20 Nov",0,"Mobiles, Tablets & Accessories",Screen Protectors,10000,generic,1,1,0.2,0.1,19.0,5.5,1.8144500000000001,26.392000000000003,0.0,45.392,24.577550000000002,1,no competition,medium,0.6300000000000001,0.5689121886096435,0.04408204461041994,0.00805836946542819,0.7497285881676459,0.95591795538958,Highly Attractive,0.8739404852125983,0.9056163053635764
